Working Capital to Total Assets,Current Assets/Total Assets,Cash/Total Assets,PCA_Operating Profit Rate_Pre-tax net Interest Rate,Quick Assets/Total Assets,PCA_ROA(C) before interest and depreciation before interest_ROA(A) before interest and % after tax,Total income/Total expense,Current Liabilities/Liability,Retained Earnings to Total Assets,Cash Flow to Liability,Interest Expense Ratio,PCA_Debt ratio %_Current Liability to Assets,PCA_Persistent EPS in the Last Four Seasons_Operating Profit Per Share (Yuan ¥),PCA_Cash flow rate_Operating Funds to Liability,Total expense/Assets,Long-term fund suitability ratio (A),Equity to Long-term Liability,Fixed Assets to Assets,PCA_Cash Reinvestment %_CFO to Assets,Total debt/Total net worth,Cash/Current Liability,Cash Flow to Equity,Cash Flow to Total Assets,Current Ratio,No-credit Interval,Operating Gross Margin,Degree of Financial Leverage (DFL),Index,Bankrupt?
-0.5999827706082249,-1.1969416194759177,-0.1970122794767831,-0.0278288824866907,-1.2220834936711211,-0.8889203114885446,-1.0889240723030869,-1.511808059037909,-0.6279109801333279,0.1018000644990461,-0.1054582048001232,-0.2998921157088993,-0.9661249441564644,-0.2924591178910677,-0.4804554173878888,-0.816519325114976,0.379811972087571,-0.0129334383686489,-0.3184071828610878,-0.0347405104089981,-0.0832827510428417,0.2348962459478084,0.3455962530500114,-0.0131385720852258,-0.0229291937743576,-0.789704040572046,-0.1016989902673101,0,0
0.2576338984216937,0.4159353261304128,-0.2760074231287968,0.0231512978991436,0.4078005211827853,0.2882579515280625,0.3179982061293329,0.1224161889048496,0.926252584931392,0.0139070338087121,-0.0405640063844215,0.2726335400493078,0.456230637559888,-0.1196419692187471,-0.3597220612857897,-0.5921590943238054,-0.228632981458597,-0.0131097155269378,0.0231624642496668,-0.0347405101649038,-0.0832827564117148,0.085944403071444,0.0958946408458111,-0.013134153354401,0.0419885073739109,-0.1610347201510351,-0.0950293109288894,1,0
0.4632794116297818,0.0601833250730648,0.6822087895034349,0.0571982988395321,0.2765484727859303,1.0386873736570628,0.8692026131477473,-1.171781549589552,0.6881607680411468,0.3000285682063156,-0.0319371009954478,-0.1586937231075094,0.934784928727753,0.2807447287503613,-0.3741025593567434,-0.4776740031231836,0.608820684058591,-0.0130998878210375,0.5289179725542714,-0.0347405171351611,-0.0832827446827332,0.55040807272631,0.9006865006242056,-0.0131216873467794,0.1768605649218765,0.231444249905094,-0.0870192768355096,2,0
-0.2061520757501916,0.1203872247338663,-0.7322447165032869,0.0235734215630176,0.8407089764977702,0.7943849842507599,1.8224789148901013,-0.5063270973338297,1.2343810209700536,-0.0635503339070684,-0.0120898447519924,0.6878112818785727,1.0293811827605477,-0.4172193446410493,-1.4186983609703676,2.077776674743065,0.6123075202110536,-0.0133330990546585,-0.571079891181965,-0.0347403486485008,-0.0832827584920081,-0.0349337688147742,-0.112882063413777,-0.0131403707622367,0.0883641957081632,-0.6178150823865003,-0.0636174481812628,5,0
-0.5574877912538434,-0.8980593587936908,-0.7731993528562212,0.0509659059218405,-0.742280986551512,0.1034677564937646,0.528449951758307,-0.4065863502051085,-0.0243786327410168,-0.0809103128114492,-0.0158139073391306,-0.4248437112822833,0.2825291767009767,0.4099499734284249,-1.0404387439246392,-0.7235002538221667,-0.1261306649417771,-0.0129925960825992,0.6941641984338247,-0.0347406039677011,-0.0832827570146684,-0.0737698611522208,-0.1674151188868176,-0.0131405301783981,0.0466738497104759,0.294718519292635,-0.0711308503892883,8,0
-0.3840861810925235,-0.3881918359898336,-0.8753142658576313,-0.0080333642244563,-0.966594052442771,-0.4744882080919392,-0.4217494642064824,0.9649301584758234,-0.0407461907602189,0.0002202403566774,0.2895988669692123,-0.1178179145275127,-0.4833919437273121,-0.2414975481023434,-0.8976936794756684,-0.8089068972404888,-0.413436070018139,-0.0129591552532898,-0.2419915651039105,-0.0347405958149457,-0.0832827584300173,0.0213570615421048,0.0103554368201877,-0.0131404782040532,-0.0877123358484812,-0.3761778045673489,3.3748072487516745,10,0
-0.4275273939435906,0.0730538140592255,-0.7590559429518092,0.0169175836998256,0.5553055622880333,0.6756141948080571,1.0085250929436336,1.1230889981160792,0.713646803624511,-0.0097209085850565,-0.0034424728500019,0.5457460098420246,0.5516669342816448,-0.2454600325731453,-0.7986067409477815,2.3368923089266875,-0.5133694990712685,-0.013342742032026,-0.1751084895729017,-0.0347404873755263,-0.0832827588105303,0.0550072334373193,0.0382051869429407,-0.0131432403420976,0.0196349124573428,-0.5357429246150031,-0.0583160542053708,12,0
-0.1221359331485041,-0.5754942113411161,0.9583599865749504,-0.0011068058666253,-0.2218971138137186,-0.3261347970219101,0.1914057842534969,0.9502087315870992,-0.2517398105823916,0.0545580865719255,-0.0434592322126144,-0.8625587265863931,-0.4618075112186783,-0.4762056529150753,-1.4001359549909669,1.96532327124258,-0.5133694990712685,-0.0133239701717645,-0.5073625106234791,-0.0347406719651835,-0.0832827388478929,0.0219451413858359,0.0361808077900798,-0.0131311919520829,0.1041396011670616,-0.7142813275298249,-0.0970519770897131,16,0
-0.9480421370438225,-1.1943642367881722,0.9203841729927128,0.1317666976232762,-0.786911417945067,1.0182653979332383,3.529484336470089,-1.0672160301991551,0.4425001296834094,0.2440557739043626,0.0066597966734715,0.0641434092615554,1.1626168959618788,0.3245835723240449,-2.108370013548908,-0.9967778269467498,0.6967388978987062,-0.0126618361747414,0.7748547951469807,-0.0347404772248074,-0.0832827435285134,0.5372782059878639,0.8192902276636361,-0.0131473263575451,-0.0094446340401601,0.847590560014533,-0.045158378057893,18,0
-0.0996233671301913,-0.507308738450622,-0.8309564099419133,0.035749938642312,-0.4228127525376572,0.5154810117220229,1.7784801668688668,-1.724128402212692,0.1278227989692802,-0.0104394634725327,0.0168529210129456,0.5222712280865539,2.706764192661125,-0.5406707162139546,-1.7399473189907797,-0.6559535139304963,2.5666703609975388,-0.0130267741333586,-0.7011876843439382,-0.0347401038868399,-0.0832827570684169,0.2098844948975782,0.131018593311586,-0.0131316511328603,-0.8389281248368695,-0.2177421352873584,-0.028174072116491,21,0
