Quick Assets/Total Assets,Equity to Liability,Cash/Total Assets,Total debt/Total net worth,Current Assets/Total Assets,Equity to Long-term Liability,Current Liabilities/Liability,Cash/Current Liability,Long-term Liability to Current Assets,Long-term fund suitability ratio (A),Quick Ratio,Working capitcal Turnover Rate,Total Asset Growth Rate,PCA_Contingent liabilities/Net worth_Working Capital/Equity,Current Liability to Current Assets,Fixed Assets to Assets,Current Ratio,PCA_Net Income to Stockholder's Equity_PCA_Borrowing dependency_Current Liabilities/Equity,Quick Assets/Current Liability,Cash Flow to Liability,PCA_ROA(C) before interest and depreciation before interest_ROA(A) before interest and % after tax,Total expense/Assets,Total income/Total expense,Cash Flow to Equity,Cash Flow to Total Assets,No-credit Interval,Interest Expense Ratio,Index,Bankrupt?
0.204896475,0.6146384835619565,0.1935363892331148,5.967891300714609e-09,0.435557199,0.6663543862232587,0.8782607998134009,2.0652079699146064e-10,7.703850057882988e-11,0.2787635121655375,4.3046521891725725e-09,0.1372000866203726,0.347014292529434,0.8508732843116497,0.4272924181201556,5.172399773596833e-06,3.243284494627288e-07,0.6269885121177887,1.873075772964943e-08,0.5985829747807296,0.5791239267233619,0.267145283245674,0.7845722641448498,0.5362751656498757,0.6291049511085787,0.5811641322735414,0.5824295589705487,8,0
0.500338929,0.9015077754212636,0.8449686546495752,1.0099671880064998e-09,0.528407786,0.6645122316843463,0.9143537528848036,8.4282095746957e-09,0.0,0.2960607159720877,3.6280915981365056e-08,0.1375336157207336,0.3171080807836034,0.8580493455845787,0.1338474949937279,5.722869677177899e-06,1.3864894525355252e-06,0.6228900436266933,1.6172934268966397e-07,0.5956679953260476,0.73087145037447,0.1711230140740046,0.8880786905425424,0.5350896892165737,0.6189057191873285,0.580649991651182,0.5772068001485708,11,0
0.3550708450000001,0.7483541719891785,0.6723596927919957,3.3255892252243703e-09,0.394708525,0.6645122316843463,0.8744033345327087,1.8261401227986918e-09,0.0,0.8992586942585843,1.1137424431924977e-08,0.1372529523607194,0.4133345695785936,0.8497079609330909,0.3484852360422649,3.854596164706056e-07,4.461788344817037e-07,0.6246455709362445,4.9871849270471166e-08,0.6005403754496886,0.5931092393018376,0.1794471216816378,0.8082645193765766,0.5362828942234119,0.6306607551958748,0.5841070986155485,0.57726316756984,13,0
0.3807216600000001,0.8293763278952953,0.7123897867213795,2.019934560327369e-09,0.429431625,0.6645122316843463,0.7356579140348085,3.2794568935456962e-09,0.0,0.4201043747484092,1.7652589717667005e-08,0.137801231537939,0.4424134088701736,0.854609374578251,0.2296204015482447,2.522892827623574e-06,7.610483838594478e-07,0.6240323478233788,8.34365512986427e-08,0.6315990194563387,0.5909770359354332,0.499926680629276,0.787047036738416,0.5409972525911699,0.6831821288131696,0.5829446104520961,0.5772068001485708,14,0
0.287886798,0.7295423431934656,0.487109049624756,3.6565985413183903e-09,0.393945908,0.6646167294424187,0.6390887471266788,1.0774513208716692e-09,1.0,0.3161290098611505,9.864491907346506e-09,0.137120017632353,0.4190576674042817,0.8511439520270685,0.3296028471707637,4.188412196307219e-06,4.822633593068828e-07,0.6244952456796417,4.371655048382375e-08,0.593522741436983,0.6291657002838402,0.4674568793058125,0.7987417939760394,0.5344678140000717,0.6129919899425477,0.582778337756196,0.5773366493787593,22,0
0.355596048,0.5715418738936943,0.5443291235335097,7.025979130307128e-09,0.44654285,0.6645122316843463,0.9475569222565036,6.8944300268825e-10,0.0,0.3371531508821335,6.5638268945556605e-09,0.1369472537221778,0.3560576754238382,0.8477781888368335,0.455590994973043,3.0532036180399766e-06,2.879940132891252e-07,0.625772458565346,2.857851127613581e-08,0.5883741964337493,0.5982927835853816,0.3692332579941164,0.7951805432051451,0.5313176817599151,0.5889954312362395,0.5823876960479224,0.5779367071247408,27,0
0.311010238,0.7737439849505581,0.717829738563742,2.895578395979703e-09,0.392888444,0.6645122316843463,0.6820523291163298,2.674056674006886e-09,0.0,0.4660718329235923,1.1574018566468114e-08,0.1372515575405732,0.3183200554122127,0.8529368720791496,0.2974897801616791,1.9553417648691355e-06,5.528862592420918e-07,0.6244133190751562,5.426119838915375e-08,0.6110911482979414,0.6131894892068792,0.5671502767547731,0.7899528464045806,0.5384966451153672,0.6536681414096138,0.582617030004773,0.5773611342365466,28,0
0.2722615210000001,0.5743969939508945,0.2958776537877459,6.949626161654662e-09,0.434649291,0.6645122316843463,0.780996931815342,3.2578591213638925e-10,0.0,0.3801867357967194,4.5716380518440874e-09,0.1369846379448178,0.2900562826578853,0.8465084401946678,0.4391485958912682,2.375934218776547e-06,3.087303564703681e-07,0.6258629540542151,2.3941317729800786e-08,0.5912729752234964,0.6115372148392625,0.5782187913751634,0.7915636215498816,0.5328161950639421,0.6007129441821684,0.5822964408672127,0.5777139737139233,36,0
0.435189613,0.8549823705754255,0.5624843778960791,1.6450709340760927e-09,0.465471874,0.6645122316843463,0.6556497125149919,2.391767691886648e-09,0.0,0.3935131898607794,2.5771412440938133e-08,0.1373235940132327,0.386785160294421,0.8561552906631497,0.1789379054777126,2.9416046235589404e-06,1.0123889631038282e-06,0.6227568029224693,1.1680351228707166e-07,0.6132735916154044,0.7120251451803746,0.4456976573661826,0.8335463358334483,0.537524852788438,0.6455198085275389,0.5833827667751064,0.5772206904650394,39,0
0.398740936,0.7532103599180526,0.3387736653619816,3.2407037786792714e-09,0.469636265,0.6645122316843463,0.8567538900514716,6.26302608733309e-10,0.0,0.4051142120494381,1.2880426495786442e-08,0.1370223296549081,0.2689065097693854,0.854514193614141,0.2996566095758823,2.5255518662381125e-06,5.477021744886316e-07,0.624365335348561,5.762104049081935e-08,0.5986789697684327,0.613475055115047,0.4570392639805344,0.7989672676156917,0.5357993923022911,0.6259217867505912,0.582874182782051,0.5775054926027234,58,0
