Quick Assets/Total Assets,Equity to Liability,Cash/Total Assets,Total debt/Total net worth,Current Assets/Total Assets,Equity to Long-term Liability,Current Liabilities/Liability,Cash/Current Liability,Long-term Liability to Current Assets,Long-term fund suitability ratio (A),Quick Ratio,Working capitcal Turnover Rate,Total Asset Growth Rate,PCA_Contingent liabilities/Net worth_Working Capital/Equity,Current Liability to Current Assets,Fixed Assets to Assets,Current Ratio,PCA_Net Income to Stockholder's Equity_PCA_Borrowing dependency_Current Liabilities/Equity,Quick Assets/Current Liability,Cash Flow to Liability,PCA_ROA(C) before interest and depreciation before interest_ROA(A) before interest and % after tax,Total expense/Assets,Total income/Total expense,Cash Flow to Equity,Cash Flow to Total Assets,No-credit Interval,Interest Expense Ratio,Index,Bankrupt?
0.455586569,0.5155042632217189,0.6002489410135393,8.697965130696067e-09,0.533343096,0.6851984801085486,0.318376809558641,1.343545682694347e-09,7.132593439485021e-10,0.3528483594760164,1.3683942590809673e-08,0.1373450487697162,0.9277457086398344,0.8590776618009286,0.2902009130092736,3.325769206133914e-06,5.708943620803559e-07,0.6252716735125496,6.038435455767133e-08,0.6093829063637327,0.721382083737502,0.3585348435659938,0.8344545186242583,0.5432279794172926,0.6827413813355765,0.5852226221386241,0.5774418986674607,2,0
0.5087850690000001,0.7210192803977349,0.7948157035806332,3.810747448282012e-09,0.601386245,0.6720012030674689,0.4031982824728299,4.044117509621747e-09,2.63435391556488e-10,0.3434842939294659,2.109134722579585e-08,0.1373446336876435,0.5787971354386678,0.8609762893331199,0.1906861037917931,3.779698871535573e-06,9.4281213764097e-07,0.6232727909533831,9.844018986391409e-08,0.6250368089317372,0.7391627157224318,0.4933612929419964,0.8284120506863281,0.5433475189393959,0.7009330868214195,0.5831239845731016,0.5772941978941952,18,0
0.362248449,0.5605207899668341,0.2332390797216235,7.323046818030407e-09,0.404914975,0.6728087390571204,0.4286271571815245,3.301787575987757e-10,3.6363969821429087e-10,0.3980547749112758,9.700762383267268e-09,0.1371998757072502,0.6085332369147545,0.8518272603078848,0.3831577974558544,2.357058194087656e-06,3.878343005083937e-07,0.624425263365767,4.317816275874253e-08,0.5975758607593892,0.7668883064429652,0.2365736465997694,0.8825054566892155,0.5360002030030632,0.6262656665218524,0.584871606527139,0.5773219570457799,33,0
0.354101551,0.4056512004921849,0.4052185548208686,1.3846865531356306e-08,0.557876858,0.6895251406519844,0.3910079946499959,4.849678228446841e-10,6.987573922256907e-10,0.3509498961638272,6.630233349760177e-09,0.1371511763636121,0.5040271527243145,0.8585572158595295,0.3768767918659669,2.911611625196832e-06,3.977479113891687e-07,0.6282953199547656,3.119009357900734e-08,0.6026372766038751,0.6437946551925284,0.5796006640537774,0.7976757425145105,0.541478645963645,0.6596285816825948,0.5824102532745281,0.5784221508319348,35,0
0.375341784,0.4893347896541316,0.443792501397788,9.64431520950916e-09,0.415689568,0.6790468640694394,0.5057655778483618,5.659028610299766e-10,5.86773346925029e-10,0.3476403322081093,7.1529379910492685e-09,0.1370204317713849,0.353459121497109,0.8456397030362984,0.444325401865452,3.050740184164577e-06,3.02091211745796e-07,0.6276946923296637,3.4070791203350426e-08,0.6009295866514005,0.5669522564152274,0.3740069830986411,0.7742202272682522,0.5385095890965295,0.6441161966482517,0.5829819705788771,0.5730418280516422,38,0
0.459031321,0.3924392949436574,0.233777576619301,1.4757831202525872e-08,0.62876987,0.694458043541612,0.3350578738582021,2.649140958682628e-10,7.48662973629188e-10,0.3474254546834247,9.694176142599834e-09,0.1375015264387379,0.5616857881790267,0.8642907756823184,0.3271898672716579,3.072975901311219e-06,4.871519948514353e-07,0.6303316178401112,4.398613836763287e-08,0.5958760698495748,0.5741624326770696,0.1721196672244124,0.7698079062456279,0.535122062261103,0.6191949948517755,0.5796251133413886,0.5592634836064443,40,0
0.432942565,0.4744335469780109,0.4391434297766814,1.0244034360368248e-08,0.4873991710000001,0.6682624405690819,0.6723781538202737,4.6271453682522607e-10,1.17444595715277e-10,0.458523401313749,7.342304693923329e-09,0.1369455532353173,0.8497837711195158,0.8511674900205957,0.4507241446725753,1.486980104015395e-06,2.9404196747270404e-07,0.6275065410563683,3.261208644323235e-08,0.6038722194886067,0.6165097838661413,0.5613753346278284,0.7925185037760745,0.5407632745474494,0.6601607815293684,0.5824693124754731,0.5787717993748884,43,0
0.263050744,0.7123468235241877,0.3223978602854489,3.9706056600193745e-09,0.2827535970000001,0.6743471997212616,0.3602851424956996,8.272371242873389e-10,7.313826003163545e-10,0.248868296381716,1.1845522563920866e-08,0.1373258803214387,0.7394922021547878,0.850504771405803,0.3396557369700516,8.749574509370775e-06,4.626183135692192e-07,0.6247109574691054,5.35094723953637e-08,0.5871009325859458,0.6271518083010331,0.2824127454627701,0.8089498484778406,0.5325202615383142,0.5950239403561826,0.5917776656506023,0.5776057050841398,48,0
0.359752978,0.5609987474632848,0.1909460847024013,7.310310955101901e-09,0.470620748,0.6722251252416869,0.4783399720085059,2.4440496848576743e-10,2.9062425903336736e-10,0.6663879638522714,8.694815863390798e-09,0.1372046927017817,0.5250369620156348,0.8486590018428669,0.3622978911462142,8.367922971857481e-07,4.2182703446254897e-07,0.6262352604057516,3.999888636431991e-08,0.5964331914251134,0.646575724604193,0.294738909656462,0.8254022755461824,0.5354052067820493,0.6214883035055185,0.5830404910659719,0.5775609050929846,51,0
0.5505342850000001,0.7490838594453803,0.8223991288271609,3.312853178848857e-09,0.597148867,0.676666066572529,0.180546666157932,9.273621755928609e-09,4.569386743979997e-10,0.3274053077833055,4.048889764283505e-08,0.1386538687173411,0.4619340389856911,0.8629006472664433,0.0978832624883855,4.576415082297992e-06,1.916000907898485e-06,0.6245115983815336,2.1737203156592865e-07,0.5667522164254951,0.587133681877999,0.4218891117414869,0.791148673594295,0.5278140795332347,0.5501017112219185,0.584001711480564,0.5773570545645856,60,0
